"Prebivalstvo po: STATISTIÈNA REGIJA , IZOBRAZBA"

" ";"Osnovna  izobrazba"
"SLOVENIJA";433910
"Pomurska";39189
"Podravska";69628
"Koroška";15887
"Savinjska";60567
"Zasavska";11058
"Spodnjeposavska";16179
"Jugovzhodna Slovenija";31458
"Osrednjeslovenska";88214
"Gorenjska";40907
"Notranjsko-kraška";11914
"Goriška";29083
"Obalno-kraška";19826

"Vir:Statistièni urad Republike Slovenije, Popis prebivalstva,  "
"gospodinjstev in stanovanj 2002.  "
"Uporaba in objava podatkov dovoljena le z navedbo vira.  "

