"Prebivalstvo po: STATISTIÈNA REGIJA , IZOBRAZBA"

" ";"Srednja izobrazba - skupaj"
"SLOVENIJA";899341
"Pomurska";49745
"Podravska";149728
"Koroška";34108
"Savinjska";116410
"Zasavska";21306
"Spodnjeposavska";30678
"Jugovzhodna Slovenija";57478
"Osrednjeslovenska";227563
"Gorenjska";90379
"Notranjsko-kraška";22139
"Goriška";51886
"Obalno-kraška";47921

"Vir:Statistièni urad Republike Slovenije, Popis prebivalstva,  "
"gospodinjstev in stanovanj 2002.  "
"Uporaba in objava podatkov dovoljena le z navedbo vira.  "

