"Dijaki po: STATISTIÈNA REGIJA STALNEGA PREBIVALIŠÈA, KAZALNIK , ŠOLSKO"
"LETO"

" ";"Vsi dijaki";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"2007/08";"2008/09";"2009/10";"2010/11";"2011/12";"2012/13";"2013/14";"2014/15";"2015/16";"2016/17";"2017/18"
"SLOVENIJA";91623;87501;85030;82267;79901;78208;76714;75325;74759;74021;73776
"Pomurska";5214;4960;6618;4645;4443;4262;4104;3987;3889;3725;3651
"Podravska";13889;13291;12357;12390;12176;11800;11488;10995;10759;10576;10666
"Koroška";3563;3344;5233;3199;3047;2997;3013;2829;2840;2720;2602
"Savinjska";12223;11648;10382;10900;10694;10605;10182;10043;9761;9543;9493
"Zasavska";2025;1854;1130;1796;1726;1636;1619;1538;2116;2026;1962
"Posavska";3199;3043;2572;2817;2736;2692;2667;2583;2811;2765;2808
"Jugovzhodna Slovenija";7100;6890;6254;6327;6022;5771;5554;5331;5277;5289;5206
"Osrednjeslovenska";22842;22102;22011;20918;20339;19853;19991;19064;18748;18589;18644
"Gorenjska";9792;9140;7149;8647;8268;8263;8048;7871;7721;7549;7595
"Primorsko-notranjska";2177;2149;1492;1993;2010;2011;1897;1868;1813;1808;1806
"Goriška";5262;5079;5939;4823;4726;4584;4481;4373;4336;4279;4188
"Obalno-kraška";4278;3965;3809;3662;3562;3535;3502;3422;3398;3386;3355
"stalno bivališèe neznano ali v tujini";59;36;84;150;152;199;168;1421;1290;1766;1800

"Vir: Statistièni urad Republike Slovenije."

